Pid,Date,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend %,Employees,Optionable,Shortable,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next 5Y,EPS past 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Earnings,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROI,Gross Margin,Oper. Margin,Profit Margin,Payout,Shs Outstand,Shs Float,Short Float / Ratio,Short Interest,Target Price,52W Range,52W High,52W Low,RSI (14),Rel Volume,Avg Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Perf YTD,Beta,ATR,Volatility,Prev Close,Price
A,20230817,S&P 500,35.92B,1.35B,7.04B,19.53,3.95,0.90,0.74%,18400,Yes,Yes,26.61,20.20,2.44,5.10,6.19,30.57,30.36,1.70,2.40,0.47,0.47,4.54,8.68%,1.60,6.10%,10.93%,14.80%,8.90%,6.80%,11.70%,Aug 15 AMC,0.30%,-0.11%,90.70%,-3.25%,12.60%,24.80%,16.90%,54.60%,24.00%,19.20%,18.80%,296.00M,294.49M,1.54% / 2.03,4.54M,140.83,113.28 - 160.26,-24.59%,6.68%,40.78,0.97,2.24M,-5.33%,-1.81%,-5.42%,-20.36%,-8.98%,-19.24%,1.02,3.02,1.86% 2.59%,121.36,120.85
AA,20230817,-,5.34B,-1474.00M,10.87B,27.20,5.39,0.40,1.37%,13100,Yes,Yes,-,9.16,-,0.49,1.07,5.40,-,0.90,1.80,0.37,0.37,-8.26,461.40%,-0.49,-130.10%,12.30%,-19.70%,1.30%,-26.30%,-119.40%,Jul 19 AMC,0.20%,0.00%,82.60%,-5.51%,-10.10%,-29.50%,0.40%,6.30%,-9.00%,-13.60%,-,178.00M,177.30M,5.47% / 1.86,9.69M,38.35,29.09 - 58.24,-50.01%,0.05%,30.81,1.24,5.22M,-11.47%,-16.45%,-20.77%,-39.87%,-45.20%,-35.98%,2.47,1.35,3.79% 3.72%,29.31,29.11
AACG,20230817,-,38.86M,-6.90M,28.70M,0.48,0.26,-,-,536,No,Yes,-,-,-,1.35,2.64,4.92,-,0.20,0.20,0.00,0.00,-0.22,-15.10%,-,-33.30%,25.00%,-29.00%,-15.80%,6.50%,22.90%,Aug 10 AMC,18.70%,0.00%,16.80%,-0.79%,-9.50%,-34.70%,-35.50%,49.30%,-,-21.70%,-,31.88M,31.59M,0.01% / 0.16,0.00M,11.00,1.12 - 2.64,-51.93%,13.32%,44.10,0.60,11.45K,1.52%,-11.87%,-14.83%,-31.41%,-40.14%,-0.34%,1.16,0.08,6.26% 6.08%,1.21,1.27
AAN,20230817,RUT,389.37M,-2.20M,2.27B,22.93,1.22,0.50,4.03%,10060,Yes,Yes,-,8.64,-,0.17,0.54,10.14,2.87,-,-,0.26,0.26,-0.08,15.69%,0.07,-105.20%,-,-15.30%,4.80%,-13.10%,220.10%,Jul 31 AMC,3.47%,-2.25%,94.40%,-7.22%,-0.10%,-0.30%,0.70%,51.20%,0.00%,-0.10%,-,30.99M,29.84M,3.48% / 3.65,1.04M,14.55,7.64 - 16.16,-23.14%,62.46%,33.81,0.55,284.31K,-5.98%,-21.24%,-2.28%,-17.58%,-17.20%,3.93%,1.20,0.62,2.87% 4.17%,12.61,12.42
AAOI,20230817,-,484.10M,-69.10M,212.90M,5.54,0.58,-,-,2213,Yes,Yes,-,32.08,-,2.27,2.33,22.41,-,0.40,0.80,0.77,0.00,-2.41,176.90%,-0.05,-18.50%,13.00%,-21.90%,-10.20%,-20.50%,-9.80%,Aug 03 AMC,8.30%,-4.98%,33.70%,-2.55%,-17.70%,-38.40%,-17.70%,15.60%,-29.10%,-32.50%,-,32.13M,30.58M,18.74% / 1.57,5.73M,12.00,1.60 - 15.90,-18.68%,708.13%,60.59,0.80,3.66M,-10.46%,49.13%,643.10%,356.89%,352.10%,584.13%,1.58,1.68,15.47% 16.51%,13.03,12.93
AAPL,20230817,"DJIA, NDX, S&P 500",2723.11B,94.76B,383.93B,3.84,3.99,0.96,0.55%,164000,Yes,Yes,29.24,26.40,4.59,7.09,45.31,43.58,26.96,0.90,1.00,1.81,1.63,5.95,8.67%,1.39,8.90%,6.37%,21.60%,11.50%,-1.40%,5.40%,Aug 03 AMC,0.07%,-4.47%,60.10%,-0.47%,27.70%,164.90%,58.30%,43.40%,29.20%,24.70%,15.60%,15.70B,15.62B,0.68% / 1.84,105.46M,201.18,124.17 - 198.23,-12.22%,40.13%,27.24,1.07,57.30M,-2.23%,-10.81%,0.76%,12.02%,0.56%,33.92%,1.29,3.17,1.47% 1.63%,176.57,174.00
AAT,20230817,RUT,1.26B,50.50M,434.50M,20.20,1.40,1.32,6.33%,220,Yes,Yes,24.79,27.80,8.26,2.90,1.03,14.89,13.14,-,-,1.39,1.39,0.84,0.00%,0.16,53.20%,3.00%,3.10%,6.10%,5.30%,13.00%,Jul 25 AMC,1.10%,141.25%,95.00%,-1.81%,1.70%,4.10%,4.00%,63.50%,27.50%,11.60%,154.70%,60.15M,59.93M,2.56% / 3.91,1.53M,22.33,16.04 - 30.29,-31.17%,29.98%,39.60,0.49,391.99K,-6.04%,-6.21%,11.32%,-21.44%,-31.80%,-21.32%,1.13,0.51,1.61% 2.14%,20.97,20.85
ABBV,20230817,S&P 500,263.50B,8.63B,56.02B,7.28,4.99,5.92,3.95%,50000,Yes,Yes,30.86,13.55,-,4.70,20.61,30.06,10.63,0.80,0.90,4.74,4.34,4.86,-0.02%,2.87,2.70%,-4.13%,13.30%,15.50%,-4.90%,121.10%,Jul 27 BMO,0.13%,-13.99%,70.90%,0.10%,6.30%,58.20%,20.50%,70.50%,31.00%,15.40%,118.50%,1.77B,1.76B,0.65% / 1.97,11.44M,167.88,130.96 - 168.11,-10.76%,14.55%,60.09,0.91,5.81M,-0.94%,8.96%,4.65%,-0.69%,5.24%,-7.17%,0.54,2.54,1.28% 1.77%,151.55,150.02
ABCB,20230817,RUT,2.83B,297.80M,1.13B,47.61,20.80,0.60,1.46%,2847,Yes,Yes,9.59,9.07,1.20,2.52,0.87,1.98,5.06,-,-,0.13,0.13,4.30,12.47%,1.14,-7.60%,8.00%,16.30%,24.90%,58.90%,-30.20%,Jul 27 AMC,3.20%,1.86%,91.70%,0.45%,1.20%,9.30%,17.30%,-,64.20%,26.50%,13.90%,68.99M,65.56M,2.89% / 4.44,1.89M,49.00,28.33 - 54.24,-23.99%,45.53%,49.62,0.62,426.56K,-5.39%,2.05%,29.25%,-16.50%,-18.26%,-12.54%,1.15,1.29,2.24% 2.95%,41.18,41.23
ABCL,20230817,-,1.62B,-73.90M,145.20M,4.14,0.61,-,-,495,Yes,Yes,-,-,-,11.19,1.33,9.04,-,7.80,7.80,0.00,0.00,-0.27,-15.10%,-0.13,4.40%,10.00%,-,-,-78.00%,-343.40%,Aug 03 AMC,19.70%,0.29%,46.90%,11.04%,-4.80%,-6.00%,11.00%,-,-80.10%,-50.90%,0.00%,288.91M,206.90M,12.77% / 8.35,26.41M,25.38,5.46 - 14.97,-63.26%,0.73%,28.61,0.79,3.16M,-6.46%,-30.82%,-5.82%,-44.89%,-56.86%,-45.71%,0.08,0.34,2.81% 5.03%,5.50,5.50
